,City,Country,Lat,Lng,Hotel Name,Rating,Address
0,saint george,US,37.1,-113.58,Best Western Plus Abbey Inn,4.6,"3CQ8+J7 St. George, Utah"
1,chiredzi,ZW,-21.05,31.67,The Nesbitt Arms,3.5,"XM39+R6 Chiredzi, Zimbabwe"
2,puksoozero,RU,62.59,40.61,,,
3,magistralnyy,RU,56.17,107.45,Магистраль,4.6,"5FG5+5Q Magistral'nyy, Irkutsk Oblast, Russia"
4,seoul,KR,37.57,126.98,Hanok 24 Guesthouse Gyeongbokgung,4.7,"HXHC+C3 Seoul, South Korea"
5,malinovskiy,RU,61.2,62.84,,,
6,teramo,IT,42.65,13.68,La Casa dei Nonni B&B,5,"MM5M+79 Teramo, Province of Teramo, Italy"
7,atasu,KZ,48.68,71.64,Dostyk,4.1,"MMQQ+C5 Atasu, Kazakhstan"
8,sokolniki,PL,50.64,21.81,Dworek Ojca Mateusza,4.4,"MPGW+WF Sandomierz, Poland"
9,zherdevka,RU,51.85,41.46,Юнона,3.7,"RFJV+4H Zherdevka, Tambov Oblast, Russia"
10,ust-ilimsk,RU,58.0,102.66,Russ resort,4.2,"XP69+5X Ust-Ilimsk, Irkutsk Oblast, Russia"
11,miles city,US,46.41,-105.84,Sleep Inn & Suites,4.5,"95XH+C7 Miles City, Montana"
12,miandrivazo,MG,-19.52,45.47,Baobab,3,"FFH5+55 Miandrivazo, Madagascar"
13,geraldton,AU,-28.77,114.6,Ocean Centre Hotel,4.1,"6JG5+F8 Geraldton, Western Australia, Australia"
